Title,Authors,Year,Publication Link,Author Profile Links
Digitally enabled business models for a circular plastic economy in Africa,"Kolade, O., Oyinlola, M., Ogunde, O., Ilo, C. & Ajala, O., ","Aug 2024,",https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-business-models-for-a-circular-plastic-economy-,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala
Does board–CEO age similarity affect earnings management? An empirical analysis from M&A contexts,"Nguyen, T., Alhababsah, S., Nguyen, T. & Alhaj Ismail, A.",6-Aug-24,https://pureportal.coventry.ac.uk/en/publications/does-boardceo-age-similarity-affect-earnings-management-an-empiri,"https://pureportal.coventry.ac.uk/en/persons/thai-nguyen,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail"
Does Digital Orientation Enhance Firm Performance?,"Brahmana, R. K. & Kontesa, M.",22-Aug-24,https://pureportal.coventry.ac.uk/en/publications/does-digital-orientation-enhance-firm-performance,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
Performance of shariah-compliant and non-shariah-compliant ETFs: a comparative study,"Brahmana, R. K., Kontesa, M. & Setiawan, D",24-Dec-24,https://pureportal.coventry.ac.uk/en/publications/performance-of-shariah-compliant-and-non-shariah-compliant-etfs-a,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
Performance measurement in urban development: unfolding a case of sustainability KPIs reporting,"Brahmana, R. K., Kontesa, M. & Yau, J. T. H.,",22-Jan-25,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-urban-development-unfolding-a-case-of-,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
"National culture, religiosity, and audited financial statements of small-scale MNCs","Atawnah, N., Hossain, Z., Mamun, M. A. & Badarin, L.,",Jan-25,https://pureportal.coventry.ac.uk/en/publications/national-culture-religiosity-and-audited-financial-statements-of-,https://pureportal.coventry.ac.uk/en/persons/pakyee-lee
Insider Trading before Earnings News: The Role of Executive Pay Disparity,"Shah, I. H., Kollydas, K., Lee, P. Y., Malki, I. & Chu, C.",Jan-25,https://pureportal.coventry.ac.uk/en/publications/insider-trading-before-earnings-news-the-role-of-executive-pay-di,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana
Insider Trading and CEO Pay-Gap Induced Turnover,"Kleindienst, I., Haj Youssef, M., Harakeh, M. & Yu, M.,",17-Jan-25,https://pureportal.coventry.ac.uk/en/publications/insider-trading-and-ceo-pay-gap-induced-turnover,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid
"Insider trading, gender diversity within the board room, CEO pay gap, and stock price crash risk","Alsaid, L.",17-Jan-25,https://pureportal.coventry.ac.uk/en/publications/insider-trading-gender-diversity-within-the-board-room-ceo-pay-ga,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala
Impact of attention on rare events across industries in Indonesia,"Tiong, P. N. C.", 10 Feb 2025,https://pureportal.coventry.ac.uk/en/publications/impact-of-attention-on-rare-events-across-industries-in-indonesia,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah
How consistent are measures of financial liberalization in assessing its impact on bank cost efficiency? A cross–country empirical analysis,"Oyinlola, M., Kolade, O., Okoya, S. A., Ajala, O., Adefila, A., Adediji, A., Babaremu, K., Tijani,",25-Apr-25,https://pureportal.coventry.ac.uk/en/publications/how-consistent-are-measures-of-financial-liberalization-in-assess,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez
Government Ownership and the Public Information Content of Insider Trading: International Evidence,"Hossain, Z., Pham, M. D., Treepongkaruna, S. & Yu, J",Jan-25,https://pureportal.coventry.ac.uk/en/publications/fostering-trust-and-overcoming-psychological-resistance-towards-c,https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati
Fostering trust and overcoming psychological resistance towards cryptocurrencies and cryptoassets,"De Vita, G., Tanna, S. & Luo, Y.",23-Feb-24,https://pureportal.coventry.ac.uk/en/publications/fiscal-consolidation-and-firm-growth-in-developing-countries-evid,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez
Fiscal Consolidation and Firm Growth in Developing Countries: Evidence from Firm-level Data,"Hariyanto, D., Khresna Brahmana, R. & Wendy, W.",7-Apr-24,https://pureportal.coventry.ac.uk/en/publications/external-arms-embargoes-and-their-implications-for-government-exp,"https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro,https://pureportal.coventry.ac.uk/en/persons/benny-tjahjono"
Female political empowerment and green finance,"Le, V. P., Nguyen, A.-N. & Gregoriou, A.", 10 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan
"External arms embargoes and their implications for government expenditure, democracy and internal conflict","Le, V., Nguyen, A.-N., Gregoriou, A. & Forbes, W.",17-Sep-24,https://pureportal.coventry.ac.uk/en/publications/external-arms-embargoes-and-their-implications-for-government-exp,https://pureportal.coventry.ac.uk/en/persons/sajjad-faraji-dizaji
Exploring the Efficacy of Ecolabels as a Marketing Strategy: Insights from the Emerging Bioplastic Packaging Market,"Nguyen, A.-N., Le, V., Gregoriou, A. & Kernohan, D",Nov-24,https://pureportal.coventry.ac.uk/en/publications/exploring-the-efficacy-of-ecolabels-as-a-marketing-strategy-insig,"https://pureportal.coventry.ac.uk/en/persons/benny-tjahjono,https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana"
Environmental and social accountability in emerging economies: strategic pressures from and responses to vulnerable local communities,"Kontesa, M., Brahmana, R. K. & You, H. W.",4-Jan-24,https://pureportal.coventry.ac.uk/en/publications/environmental-and-social-accountability-in-emerging-economies-str,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah
